generation,final_drive,roll_radius,gear_3,gear_4,gear_5,consumption,elasticity_3,elasticity_4,elasticity_5,experiment_id
5,5.077825992819681,0.33366650351906757,1.7249950219882402,1.2060844767809993,1.0312165410139387,1.721828,5.44,11.38,15.57,3
5,2.2657115016241365,0.361053015208961,1.8568232932089246,1.3984066567578244,0.9369846063706964,1.16707,28.24,49.75,110.83,3
5,5.149069915359977,0.33719591547823546,1.8085811925204551,1.233598768280188,0.8225806167768348,1.679561,4.91,10.8,24.3,3
5,4.981060193174634,0.33023864913381495,1.8014222443947203,1.233268117334716,0.8294972784338885,1.668667,5.07,11.08,24.5,3
5,2.155901341960886,0.3632895096887411,1.7628825370638446,1.3843965213947076,1.0003264799513256,1.149813,35.02,56.75,108.73,3
5,5.006529347457549,0.34553039398059615,1.6381349419521813,1.6140577890268029,0.7373366673923929,1.6272,6.76,6.97,33.58,3
6,2.7203985896262135,0.32609209437247844,1.7135231239187096,1.3988054205797777,0.9056544616096995,1.272835,18.77,28.16,67.09,3
6,1.0301930502885803,0.33975899649299784,1.8035667585492148,1.313250301937505,0.8738442533306072,1.104395,128.17,230.25,376.5,3
6,4.723790485757341,0.3227564955664614,1.7297830299348436,1.261153148493429,1.0918167464603736,1.707434,5.87,11.25,15.02,3
6,2.1378563540947013,0.3715441079413264,1.6584728382911647,1.4733573500188955,1.0122036145306748,1.142656,42.08,53.3,112.96,3
6,2.7598666026308103,0.3898665672287122,1.6368652288220433,1.3185243668593856,0.8002853750939203,1.172763,28.56,43.98,119.41,3
6,2.6748556959565732,0.3360594099867109,1.6058304210081908,1.2263803667201827,0.838726772770213,1.222341,23.47,40.22,85.94,3
6,5.448383179418855,0.3148850450808495,1.8888759061487157,1.3142708172971695,0.7770946753892567,1.82623,3.63,7.4,21.21,3
6,1.2904601491638137,0.37210681343909124,1.7532304876088454,1.2462178316593038,0.940627717153266,1.087881,103.63,201.13,303.56,3
6,2.120608899421876,0.44950746188942525,1.8511643436461576,1.607806307958466,1.419314981291656,1.151161,50.23,66.57,85.43,3
6,4.620608899421876,0.3495074618894253,1.8805335806857388,0.9907435527202273,0.8911643436461576,1.553193,6.11,22.35,27.62,3
7,2.68854885608196,0.34722341054827366,1.6699495649532945,1.1744544008343498,0.9338331477472217,1.22434,22.93,46.33,73.25,3
7,1.0343354818085686,0.3674167946787492,1.704336579095345,1.243897778692001,0.9685434905543251,1.123119,166.3,277.63,365.87,3
7,2.2824451789111215,0.3958217368905222,1.5579113788135939,1.5434264325855236,1.5056751648213407,1.194281,47.47,48.37,50.82,3
7,2.0722489492822787,0.4504419890474526,1.8340313688435073,1.3874642550572316,0.7842537585380653,1.052763,53.81,94.02,266.56,3
7,5.791788002074374,0.33990766218759433,1.966416589284389,1.457208089050066,0.7467997569225758,1.832773,3.49,6.13,23.68,3
7,1.3917032599232895,0.3660599469510224,1.7397908831997062,1.1854323711756687,0.8819706572285582,1.077553,87.55,186.81,293.58,3
